front,back,languageFrom,languageTo
person,la persona,en,es
people,las personas,en,es
man,el hombre,en,es
men,los hombres,en,es
woman,la mujer,en,es
women,las mujeres,en,es
child,el niño / la niña,en,es
children,los niños / las niñas,en,es
friend,el amigo / la amiga,en,es
friends,los amigos / las amigas,en,es
family,la familia,en,es
families,las familias,en,es
mother,la madre,en,es
mothers,las madres,en,es
father,el padre,en,es
fathers,los padres,en,es
parent,el padre / la madre,en,es
parents,los padres,en,es
son,el hijo,en,es
sons,los hijos,en,es
daughter,la hija,en,es
daughters,las hijas,en,es
brother,el hermano,en,es
brothers,los hermanos,en,es
sister,la hermana,en,es
sisters,las hermanas,en,es
husband,el esposo,en,es
husbands,los esposos,en,es
wife,la esposa,en,es
wives,las esposas,en,es
boy,el chico,en,es
boys,los chicos,en,es
girl,la chica,en,es
girls,las chicas,en,es
student,el estudiante / la estudiante,en,es
students,los estudiantes,en,es
teacher,el profesor / la profesora,en,es
teachers,los profesores,en,es
doctor,el médico / la médica,en,es
doctors,los médicos,en,es
worker,el trabajador / la trabajadora,en,es
workers,los trabajadores,en,es
boss,el jefe / la jefa,en,es
bosses,los jefes,en,es
customer,el cliente / la clienta,en,es
customers,los clientes,en,es
neighbor,el vecino / la vecina,en,es
neighbors,los vecinos,en,es
stranger,el desconocido / la desconocida,en,es
strangers,los desconocidos,en,es
house,la casa,en,es
houses,las casas,en,es
home,el hogar,en,es
homes,los hogares,en,es
room,la habitación,en,es
rooms,las habitaciones,en,es
bedroom,el dormitorio,en,es
bedrooms,los dormitorios,en,es
bathroom,el baño,en,es
bathrooms,los baños,en,es
kitchen,la cocina,en,es
kitchens,las cocinas,en,es
door,la puerta,en,es
doors,las puertas,en,es
window,la ventana,en,es
windows,las ventanas,en,es
wall,la pared,en,es
walls,las paredes,en,es
floor,el suelo,en,es
floors,los suelos,en,es
ceiling,el techo,en,es
ceilings,los techos,en,es
table,la mesa,en,es
tables,las mesas,en,es
chair,la silla,en,es
chairs,las sillas,en,es
bed,la cama,en,es
beds,las camas,en,es
sofa,el sofá,en,es
sofas,los sofás,en,es
lamp,la lámpara,en,es
lamps,las lámparas,en,es
phone,el teléfono,en,es
phones,los teléfonos,en,es
computer,la computadora,en,es
computers,las computadoras,en,es
screen,la pantalla,en,es
screens,las pantallas,en,es
key,la llave,en,es
keys,las llaves,en,es
bag,la bolsa,en,es
bags,las bolsas,en,es
book,el libro,en,es
books,los libros,en,es
notebook,el cuaderno,en,es
notebooks,los cuadernos,en,es
pen,el bolígrafo,en,es
pens,los bolígrafos,en,es
paper,el papel,en,es
papers,los papeles,en,es
city,la ciudad,en,es
cities,las ciudades,en,es
town,el pueblo,en,es
towns,los pueblos,en,es
country,el país,en,es
countries,los países,en,es
world,el mundo,en,es
worlds,los mundos,en,es
street,la calle,en,es
streets,las calles,en,es
road,la carretera,en,es
roads,las carreteras,en,es
car,el coche,en,es
cars,los coches,en,es
bus,el autobús,en,es
buses,los autobuses,en,es
train,el tren,en,es
trains,los trenes,en,es
plane,el avión,en,es
planes,los aviones,en,es
bicycle,la bicicleta,en,es
bicycles,las bicicletas,en,es
station,la estación,en,es
stations,las estaciones,en,es
airport,el aeropuerto,en,es
airports,los aeropuertos,en,es
hotel,el hotel,en,es
hotels,los hoteles,en,es
restaurant,el restaurante,en,es
restaurants,los restaurantes,en,es
store,la tienda,en,es
stores,las tiendas,en,es
market,el mercado,en,es
markets,los mercados,en,es
bank,el banco,en,es
banks,los bancos,en,es
hospital,el hospital,en,es
hospitals,los hospitales,en,es
school,la escuela,en,es
schools,las escuelas,en,es
university,la universidad,en,es
universities,las universidades,en,es
office,la oficina,en,es
offices,las oficinas,en,es
company,la empresa,en,es
companies,las empresas,en,es
job,el trabajo,en,es
jobs,los trabajos,en,es
meeting,la reunión,en,es
meetings,las reuniones,en,es
day,el día,en,es
days,los días,en,es
week,la semana,en,es
weeks,las semanas,en,es
month,el mes,en,es
months,los meses,en,es
year,el año,en,es
years,los años,en,es
hour,la hora,en,es
hours,las horas,en,es
minute,el minuto,en,es
minutes,los minutos,en,es
second,el segundo,en,es
seconds,los segundos,en,es
morning,la mañana,en,es
mornings,las mañanas,en,es
afternoon,la tarde,en,es
afternoons,las tardes,en,es
night,la noche,en,es
nights,las noches,en,es
